last_update:2014-07-15 09:00
position	url	type	google_plus_name
1	http://www.xovi.de/xovilichter/	txt	
2	http://www.xovi.de/xovilichter/results.html	txt	
3	http://ronny-marx.de/xovilichter/	txt	
4	http://www.habbo.cx/xovilichter	txt	
5	http://www.dynapso.de/xovilichter/	txt	Nicolas Sacotte
6	http://www.xovilichter-smx.de/	txt	
7	http://www.omsag.de/xovilichter/	txt	
8	http://www.search-one.de/xovilichter/	txt	Kai Spriestersbach
9	http://www.illerseo.de/xovilichter	txt	
10.1	http://ronny-marx.de/xovilichter/	img	
10.2	http://www.die-infoseiten.de/xovilichter/	img	
10.3	http://webstandard.kulando.de/	img	
10.4	http://www.dynapso.de/xovilichter/	img	
10.5	http://www.dynapso.de/xovilichter/	img	
11	http://www.secondlifepeople.com/	txt	Wolfgang Brand
12.1	http://www.saz-aktuell.com/Lifestyle/Endspurt-im-Xovilichter-SEO-Contest-Datablue-kampft-um-Einstieg-in-die-Top-20/28969.html	new	
13	http://www.google-gamer.de/xovilichter/	txt	Julian Raab
14	http://www.tobias-fox.de/seo/xovilichter	txt	Tobias Fox
15	http://muchgadget.tumblr.com/post/85062356606/xovilichter	txt	
16	http://www.contentking.de/neuer-seo-contest-xovilichter/	txt	Nicolas Sacotte
17	http://www.webkarat.com/xovilichter/	txt	
18	http://seocouch.de/xovilichter-seo-contest-bringt-licht-ins-dunkle/	txt	Heiko Stiegert
19	http://aus.gerech.net/xovilichter/	txt	Ingo Henze
20	http://xovilichter.tips/	txt	
21	http://www.hk-marketing.eu/xovilichter/	txt	
22	http://www.upon-onlinemarketing.de/xovilichter/	txt	Alex Buchanan
23	http://www.jennifer-kosmetik.de/xovilichter/	txt	
24	http://www.xovilichter-koeln.de/	txt	
25	http://greatsolution.eu/xovilichter/	txt	
26	http://www.reknova.de/xovilichter	txt	Daniel Bruckhaus
27	http://xovilichter.eu.com/	txt	
28	http://xovilichter.quickdict.de/	txt	
29	http://www.etmservice.com/	txt	
30	http://xtremegn.de/webdesign/xovilichter/	txt	Tommy Weber
31	https://www.deutsche-mikroinvest.de/xovilichter	txt	
32	http://www.seomira.de/xovilichter.html	txt	
33	https://www.data-blue.de/xovilichter-shop/	txt	
34	http://seocouch.de/xovilichter-seo-contest-bringt-licht-ins-dunkle/	txt	Heiko Stiegert
35	http://www.saz-aktuell.com/Lifestyle/Endspurt-im-Xovilichter-SEO-Contest-Datablue-kampft-um-Einstieg-in-die-Top-20/28969.html	txt	
36	https://www.facebook.com/xovilichter2014	txt	
37	http://www.wrel.de/xovilichter/	txt	
38	http://www.kfsw.de/teilnehmer/1553/08d59fda96f2d8b881564d62a6892b73ae75d210128cc56975204851e18f2dc0.html	txt	
39	http://muchgadget.tumblr.com/post/85062356606/xovilichter	txt	
40	http://www.elsalumni.de/	txt	
41	https://twitter.com/hashtag/xovilichter	txt	
